Measured Depth m,Average Rotary Speed rpm,Corrected Total Hookload kkgf,MWD Turbine RPM rpm,Corrected Hookload kkgf,Mud Density Out g/cm3,Average Hookload kkgf,Total Hookload kkgf,ROPIH s/m,Lag Depth (TVD) m,Total Vertical Depth m,Mud Density In g/cm3,Mud Density In g/cm3.1,Averaged WOB kkgf,Hole Depth (TVD) m
844.448,0.0,173.61111884038996,,88.86600276092,,88.86600276092,108.35051660664,96.6535433070866,,,,1.19826420479462,,804.928032
844.4939999999999,,,,,,,,,,,,,,804.9624744
844.546,,,,,,,,,,,,,,805.0014888
844.595,,,,,,,,,,,,,,805.0383696
844.6010000000001,0.0,173.63470564363,,88.61244462609001,,88.61244462609001,108.35051660664,100.393700787402,,,,1.19826420479462,,805.0429416000001
844.637,,,,,,,,,,,,,,805.0706784
844.683,,,,,,,,,,,,,,805.1051208
844.7260000000001,,,,,,,,,,,,,,805.1374296
844.753,0.0,173.6578388545,3085.938,88.70996698564001,,88.70996698564001,108.35051660664,112.40157480315,,,,1.19826420479462,,805.158156
844.7710000000001,,,,,,,,,,,,,,805.171872
844.82,,,,,,,,,,,,,,805.2087528
844.863,,,,,,,,,,,,,,805.2407568
844.9060000000001,0.0,173.68187925011003,,89.09325253829,,89.09325253829,108.35051660664,112.795275590551,,,,1.19826420479462,,805.2730656
844.954,,,,,,,,,,,,,,805.3099464
844.997,,,,,,,,,,,,,,805.3419504
845.043,,,,,,,,,,,,,,805.3763928
845.058,0.0,173.70501246098,,88.94628861041001,,88.94628861041001,108.35051660664,109.645669291339,,,,1.19826420479462,,805.3879752
845.082,,,,,,,,,,,,,,805.4062632
845.125,,,,,,,,,,,,,,805.438572
845.21,0.0,173.72905285659002,3125.0,88.93177365457,,88.93177365457,108.35051660664,149.015748031496,,,,1.19826420479462,,805.5028848
845.216,,,,,,,,,,,,,,805.5074568
845.2410000000001,,,,,,,,,,,,,,805.5260496000001
845.284,,,,,,,,,,,,,,805.5580536
845.335,,,,,,,,,,,,,,805.5973727999999
845.363,0.0,173.74991810561002,,89.91833705932,,89.91833705932,108.35051660664,123.031496062992,,,,1.19826420479462,,805.6177944
845.3839999999999,,,,,,,,,,,,,,805.6339488
845.43,,,,,,,,,,,,,,805.6683912000001
845.4789999999999,,,,,,,,,,,,,,805.7052719999999
845.515,0.0,173.77486568596,,88.677308335,,88.677308335,108.35051660664,105.511811023622,,,,1.19826420479462,,805.732704
845.5269999999999,,,,,,,,,,,,,,805.7421528
845.625,,,,,,,,,,,,,,805.8156096
845.668,0.0,173.79890608156998,3125.0,88.59883685499001,,88.59883685499001,108.35051660664,106.692913385827,,,,1.19826420479462,,805.8476136
845.671,,,,,,,,,,,,,,805.850052
845.7130000000001,,,,,,,,,,,,,,805.8820559999999
845.762,,,,,,,,,,,,,,805.9189368
845.811,,,,,,,,,,,,,,805.9558176
845.82,0.0,173.82158570007,,88.75804777686,,88.75804777686,108.35051660664,107.48031496063,,,,1.19826420479462,,805.9625232000001
